TF_CellLine_Antibody_Lab,DeepBind*,DeepBind,MEME-SUM,MEME-M1
EP300_GM12878_p300_HudsonAlpha,0.84435,0.71855,0.76026,0.66806
EP300_GM12878_p300_Stanford,0.89804,0.80648,0.72652,0.64109
EP300_H1-hESC_p300_HudsonAlpha,0.80863,0.69761,0.67538,0.55214
EP300_HeLa-S3_p300_(SC-584)_Stanford,0.91962,0.90231,0.87544,0.79160
EP300_HepG2_p300_HudsonAlpha,0.92598,0.86237,0.84968,0.75584
EP300_K562_p300_Stanford,0.95523,0.91325,0.88185,0.88024
EP300_SK-N-SH-(Retinoic-Acid)_p300_HudsonAlpha,0.91189,0.79367,0.72094,0.69723
ETS1_GM12878_ETS1_HudsonAlpha,0.91390,0.87854,0.87894,0.67050
ETS1_K562_ETS1_HudsonAlpha,0.83103,0.75715,0.79250,0.71478
EZH2_GM12878_EZH2_(39875)_Broad,0.69666,0.64093,0.56708,0.52545
EZH2_H1-hESC_EZH2_(39875)_Broad,0.73057,0.67059,0.53471,0.53115
EZH2_HMEC_EZH2_(39875)_Broad,0.70548,0.65182,0.56588,0.53656
EZH2_HSMMtube_EZH2_(39875)_Broad,0.71909,0.65047,0.58071,0.53256
EZH2_HUVEC_EZH2_(39875)_Broad,0.74696,0.66282,0.56432,0.55790
EZH2_NH-A_EZH2_(39875)_Broad,0.74926,0.65805,0.53288,0.52597
EZH2_NHDF-Ad_EZH2_(39875)_Broad,0.77056,0.62406,0.54887,0.51640
EZH2_NHEK_EZH2_(39875)_Broad,0.75244,0.60911,0.57536,0.55542
EZH2_NHLF_EZH2_(39875)_Broad,0.72529,0.61416,0.58436,0.54892
FAM48A_HeLa-S3_SPT20_Stanford,0.63538,0.57350,0.55409,0.53877
FOSL1_H1-hESC_FOSL1_(SC-183)_HudsonAlpha,0.76050,0.75701,0.95965,0.82356
FOSL1_K562_FOSL1_(SC-183)_HudsonAlpha,0.98996,0.98630,0.96775,0.95027
FOSL2_HepG2_FOSL2_HudsonAlpha,0.98888,0.98073,0.96390,0.95428
FOS_HUVEC_c-Fos_USC,0.98379,0.95712,0.99246,0.98370
FOS_HeLa-S3_c-Fos_Yale,0.97748,0.96647,0.71242,0.67617
FOS_K562_c-Fos_Yale,0.98328,0.97005,0.95652,0.95208
FOS_K562_eGFP-FOS_UChicago,0.99553,0.99020,0.95662,0.97062
FOXA1_HepG2_FOXA1_(SC-101058)_HudsonAlpha,0.98176,0.97667,0.94700,0.96736
FOXA1_HepG2_FOXA1_(SC-6553)_HudsonAlpha,0.98575,0.96765,0.95300,0.97035
FOXA2_HepG2_FOXA2_(SC-6554)_HudsonAlpha,0.98447,0.96626,0.95221,0.95772
FOXM1_GM12878_FOXM1_(SC-502)_HudsonAlpha,0.91634,0.77646,0.77433,0.65724
FOXP2_PFSK-1_FOXP2_HudsonAlpha,0.89592,0.78514,0.79487,0.65857
FOXP2_SK-N-MC_FOXP2_HudsonAlpha,0.89936,0.83488,0.79986,0.77946
GABPA_GM12878_GABP_HudsonAlpha,0.97970,0.97006,0.96481,0.96103
GABPA_H1-hESC_GABP_HudsonAlpha,0.97087,0.97707,0.95882,0.96057
GABPA_HeLa-S3_GABP_HudsonAlpha,0.97627,0.96303,0.96506,0.96556
GABPA_HepG2_GABP_HudsonAlpha,0.97192,0.97237,0.94918,0.95517
GABPA_K562_GABP_HudsonAlpha,0.97111,0.97085,0.96247,0.96252
GATA1_K562_GATA-1_USC,0.95964,0.95441,0.82982,0.94050
GATA1_PBDE_GATA-1_USC,0.95626,0.95410,0.93742,0.93480
GATA2_HUVEC_GATA-2_USC,0.94616,0.92097,0.88591,0.83164
GATA2_K562_GATA-2_USC,0.97255,0.95725,0.86629,0.88831
GATA2_K562_GATA2_(SC-267)_HudsonAlpha,0.97696,0.96348,0.87841,0.95706
GATA2_K562_eGFP-GATA2_UChicago,0.93679,0.92953,0.94126,0.94952
GATA2_SH-SY5Y_GATA-2_USC,0.94740,0.91852,0.86165,0.88159
GATA3_MCF-7_GATA3_(SC-268)_USC,0.80366,0.75211,0.70647,0.59280
GATA3_MCF-7_GATA3_(SC-269)_USC,0.89395,0.78087,0.75790,0.74640
GATA3_SH-SY5Y_GATA3_(SC-269)_USC,0.93096,0.88450,0.81494,0.86402
GTF2B_K562_GTF2B_Harvard,0.75183,0.66407,0.61673,0.56651
GTF2F1_H1-hESC_GTF2F1_(AB28179)_Stanford,0.78074,0.72531,0.69890,0.57319
GTF2F1_HeLa-S3_GTF2F1_(AB28179)_Stanford,0.77120,0.62341,0.61294,0.51950
HDAC1_K562_HDAC1_(SC-6298)_Broad,0.71932,0.65349,0.59620,0.56531
HDAC2_H1-hESC_HDAC2_(SC-6296)_HudsonAlpha,0.83982,0.71617,0.65515,0.54661
HDAC2_HepG2_HDAC2_(SC-6296)_HudsonAlpha,0.93572,0.85736,0.84704,0.75657
HDAC2_K562_HDAC2_(A300-705A)_Broad,0.78004,0.72564,0.66856,0.56134
HDAC2_K562_HDAC2_(SC-6296)_HudsonAlpha,0.93140,0.86109,0.84998,0.72582
HDAC6_K562_HDAC6_(A301-341A)_Broad,0.62572,0.60046,0.54562,0.51364
HMGN3_K562_HMGN3_Harvard,0.85716,0.67111,0.77998,0.60525
HNF4A_HepG2_HNF4A_(SC-8987)_HudsonAlpha,0.98610,0.95852,0.86846,0.95020
HNF4G_HepG2_HNF4G_(SC-6558)_HudsonAlpha,0.97489,0.95248,0.91484,0.93118
IKZF1_GM12878_IKZF1_(IkN)_(UCLA)_USC,0.80112,0.69841,0.68430,0.63200
IRF3_HeLa-S3_IRF3_Stanford,0.95920,0.95865,0.93223,0.93458
IRF4_GM12878_IRF4_(SC-6059)_HudsonAlpha,0.97236,0.95481,0.87438,0.74060
JUNB_K562_eGFP-JunB_UChicago,0.98010,0.96389,0.89339,0.67895
JUND_H1-hESC_JunD_HudsonAlpha,0.89352,0.91101,0.92461,0.90778
JUND_H1-hESC_JunD_Stanford,0.93267,0.89183,0.95251,0.93592
JUND_HeLa-S3_JunD_Stanford,0.99452,0.98953,0.96596,0.92240
JUND_HepG2_JunD_HudsonAlpha,0.98457,0.95150,0.96276,0.87012
JUND_HepG2_JunD_Stanford,0.99226,0.99076,0.95999,0.94759
JUND_K562_JunD_Stanford,0.97890,0.96042,0.87236,0.66194
JUND_K562_eGFP-JunD_UChicago,0.99379,0.98446,0.85620,0.83697
JUN_H1-hESC_c-Jun_Stanford,0.87622,0.90524,0.98724,0.98573
JUN_HUVEC_c-Jun_Stanford,0.98901,0.95304,0.95070,0.93725
JUN_HeLa-S3_c-Jun_Stanford,0.98115,0.94667,0.96975,0.95824
JUN_HepG2_c-Jun_Stanford,0.98764,0.96499,0.98034,0.89683
JUN_K562_c-Jun_Yale,0.98381,0.97436,0.95146,0.87065
KAP1_HEK293_KAP1_USC,0.76725,0.74450,0.59088,0.56961
KAP1_K562_KAP1_USC,0.91237,0.85844,0.76091,0.62982
KAP1_U2OS_KAP1_USC,0.81389,0.64042,0.61679,0.55026
KDM5A_H1-hESC_JARID1A_(ab26049)_Broad,0.80116,0.73450,0.78091,0.69838
KDM5B_K562_PLU1_Broad,0.81491,0.67062,0.64860,0.59356
MAFF_HepG2_MafF_(M8194)_Stanford,0.99862,0.99759,0.97709,0.98205
MAFF_K562_MafF_(M8194)_Stanford,0.99823,0.98978,0.94804,0.98118
MAFK_H1-hESC_MafK_(ab50322)_Stanford,0.99300,0.99028,0.96423,0.96051
MAFK_HeLa-S3_MafK_(ab50322)_Stanford,0.99706,0.98648,0.95928,0.96180
MAFK_HepG2_MafK_(SC-477)_Stanford,0.99933,0.98661,0.97751,0.99378
MAFK_HepG2_MafK_(ab50322)_Stanford,0.99990,0.99717,0.97660,0.97916
MAFK_IMR90_MafK_(ab50322)_Stanford,0.99982,0.99757,0.98518,0.98924
MAFK_K562_MafK_(ab50322)_Stanford,0.99948,0.99789,0.96466,0.94790
MAX_A549_Max_Stanford,0.94543,0.91736,0.91568,0.91981
MAX_GM12878_Max_Stanford,0.93338,0.86859,0.89138,0.86924
MAX_H1-hESC_Max_USC,0.92785,0.89305,0.90146,0.87659
MAX_HUVEC_Max_Stanford,0.98322,0.96384,0.89162,0.89305
MAX_HeLa-S3_Max_Stanford,0.94183,0.90289,0.93247,0.95257
MAX_HepG2_Max_Stanford,0.96932,0.96072,0.96705,0.97081
MAX_K562_Max_HudsonAlpha,0.94309,0.90442,0.92076,0.91478
MAX_K562_Max_Stanford,0.94003,0.91589,0.92652,0.92897
MAX_NB4_Max_Stanford,0.98286,0.97479,0.97885,0.97703
MAZ_GM12878_MAZ_(ab85725)_Stanford,0.87518,0.82887,0.81317,0.78110
MAZ_HeLa-S3_MAZ_(ab85725)_Stanford,0.88516,0.76720,0.80640,0.64125
MAZ_HepG2_MAZ_(ab85725)_Stanford,0.88158,0.80107,0.78692,0.78134
MAZ_K562_MAZ_(ab85725)_Stanford,0.92170,0.82007,0.81475,0.76766
MEF2A_GM12878_MEF2A_HudsonAlpha,0.97787,0.91607,0.89878,0.90460
MEF2A_K562_MEF2A_HudsonAlpha,0.97123,0.93773,0.90556,0.91154
MEF2C_GM12878_MEF2C_(SC-13268)_HudsonAlpha,0.97502,0.92492,0.93105,0.90781
MTA3_GM12878_MTA3_(SC-81325)_HudsonAlpha,0.89432,0.69982,0.78320,0.66360
MXI1_GM12878_Mxi1_(AF4185)_Stanford,0.87258,0.81501,0.80833,0.65890
MXI1_H1-hESC_Mxi1_(AF4185)_Stanford,0.87291,0.86999,0.85228,0.51102
MXI1_HeLa-S3_Mxi1_(AF4185)_Stanford,0.91355,0.85477,0.87185,0.78405
MXI1_HepG2_Mxi1_(AF4185)_Stanford,0.89091,0.86320,0.83220,0.59689
MXI1_K562_Mxi1_(AF4185)_Stanford,0.93237,0.87383,0.86713,0.73517
MYBL2_HepG2_MYBL2_(SC-81192)_HudsonAlpha,0.78342,0.71889,0.70407,0.57510
MYC_H1-hESC_c-Myc_Stanford,0.93007,0.85509,0.84313,0.82963
MYC_HUVEC_c-Myc_UT-A,0.93967,0.88499,0.86968,0.85822
MYC_HeLa-S3_c-Myc_UT-A,0.88983,0.84934,0.87870,0.85845
MYC_HeLa-S3_c-Myc_Yale,0.92395,0.86770,0.88278,0.85338
MYC_K562_c-Myc_Stanford,0.88448,0.86774,0.87519,0.82601
MYC_K562_c-Myc_UT-A,0.93749,0.88800,0.89325,0.88018
MYC_NB4_c-Myc_Stanford,0.93146,0.89671,0.90303,0.90310
NANOG_H1-hESC_NANOG_(SC-33759)_HudsonAlpha,0.95269,0.92493,0.86416,0.71630
NFATC1_GM12878_NFATC1_(SC-17834)_HudsonAlpha,0.85794,0.79196,0.64378,0.51734
NFE2_K562_NF-E2_Yale,0.99680,0.99376,0.96588,0.91498
NFIC_GM12878_NFIC_(SC-81335)_HudsonAlpha,0.92903,0.73547,0.78825,0.61044
NFIC_HepG2_NFIC_(SC-81335)_HudsonAlpha,0.89372,0.79655,0.82862,0.75829
NFYA_GM12878_NF-YA_Harvard,0.94150,0.94039,0.92938,0.92537
NFYA_HeLa-S3_NF-YA_Harvard,0.97667,0.95843,0.94764,0.94270
NFYA_K562_NF-YA_Stanford,0.97296,0.97658,0.95820,0.95865
NFYB_GM12878_NF-YB_Harvard,0.98954,0.98582,0.97192,0.97590
NFYB_HeLa-S3_NF-YB_Harvard,0.98818,0.98716,0.97074,0.97673
NFYB_K562_NF-YB_Stanford,0.99316,0.99057,0.97772,0.97418
NR2C2_GM12878_TR4_USC,0.73680,0.73590,0.62420,0.48527
NR2C2_HeLa-S3_TR4_USC,0.90925,0.91535,0.84130,0.73116
NR2C2_HepG2_TR4_USC,0.87104,0.88677,0.83213,0.74716
NR2F2_K562_NR2F2_(SC-271940)_HudsonAlpha,0.95311,0.91232,0.88461,0.85280
NRF1_GM12878_Nrf1_Stanford,0.99541,0.98673,0.98054,0.97502
NRF1_H1-hESC_Nrf1_Stanford,0.99637,0.99397,0.98310,0.98918
NRF1_HeLa-S3_Nrf1_Stanford,0.98836,0.98101,0.97292,0.97110
NRF1_K562_Nrf1_Stanford,0.99180,0.98641,0.96957,0.96954
PAX5_GM12878_PAX5-C20_HudsonAlpha,0.96638,0.94197,0.89398,0.90068
PAX5_GM12878_PAX5-N19_HudsonAlpha,0.93212,0.81021,0.81487,0.73858
PAX5_GM12891_PAX5-C20_HudsonAlpha,0.95201,0.92702,0.86163,0.84757
PAX5_GM12892_PAX5-C20_HudsonAlpha,0.89586,0.87267,0.81739,0.79978
PBX3_GM12878_Pbx3_HudsonAlpha,0.90865,0.97470,0.95342,0.91573
PHF8_K562_PHF8_(A301-772A)_Broad,0.76690,0.68571,0.59769,0.57008
PML_GM12878_PML_(SC-71910)_HudsonAlpha,0.75866,0.67726,0.57800,0.58257
PML_K562_PML_(SC-71910)_HudsonAlpha,0.90350,0.83982,0.84849,0.84945
POLR2A_A549_Pol2(phosphoS2)_Stanford,0.64930,0.58431,0.55276,0.50666
POLR2A_A549_Pol2_UT-A,0.80919,0.69524,0.65478,0.61738
POLR2A_GM12878_Pol2(phosphoS2)_Stanford,0.74108,0.68808,0.67742,0.67629
POLR2A_GM12878_Pol2-4H8_HudsonAlpha,0.78704,0.67733,0.64341,0.58447
POLR2A_GM12878_Pol2_HudsonAlpha,0.82958,0.73828,0.67400,0.64512
POLR2A_GM12878_Pol2_Stanford,0.76270,0.69562,0.58451,0.56429
POLR2A_GM12878_Pol2_UT-A,0.78421,0.69859,0.65214,0.58058
POLR2A_GM12891_Pol2-4H8_HudsonAlpha,0.73990,0.66856,0.61585,0.61714
POLR2A_GM12891_Pol2_HudsonAlpha,0.77836,0.70328,0.65758,0.63126
POLR2A_GM12891_Pol2_Stanford,0.72356,0.62814,0.57975,0.57702
POLR2A_GM12892_Pol2-4H8_HudsonAlpha,0.78523,0.69394,0.65904,0.62861
POLR2A_GM12892_Pol2_HudsonAlpha,0.78527,0.66904,0.66680,0.59092
POLR2A_GM12892_Pol2_Stanford,0.79970,0.68821,0.66676,0.57823
POLR2A_GM15510_Pol2_Stanford,0.79664,0.71261,0.59546,0.52428
POLR2A_GM18505_Pol2_Stanford,0.81399,0.70066,0.66662,0.64601
