Wall time,Step,Value
1607583380.702176,0,0.6983132362365723
1607583381.349992,1,0.6940493583679199
1607583382.270594,2,0.6895635724067688
1607583382.941277,3,0.6961801648139954
1607583383.565329,4,0.6929140686988831
1607583384.175424,5,0.6916203498840332
1607583384.814105,6,0.6849815249443054
1607583385.413927,7,0.6873679161071777
1607583386.053329,8,0.6818981766700745
1607583386.666919,9,0.6896812319755554
1607583387.277988,10,0.6833875775337219
1607583387.952819,11,0.6659416556358337
1607583388.586424,12,0.6586297750473022
1607583389.225896,13,0.6556934714317322
1607583389.866351,14,0.6469536423683167
1607583390.495772,15,0.6424019932746887
1607583391.123846,16,0.6455573439598083
1607583391.80063,17,0.6364423632621765
1607583392.485781,18,0.6428970694541931
1607583393.148284,19,0.6257169246673584
1607583393.802846,20,0.6083357930183411
1607583394.436688,21,0.609286904335022
1607583395.082188,22,0.6013942956924438
1607583395.732351,23,0.5973305106163025
1607583396.376351,24,0.6151108145713806
1607583396.993372,25,0.6007363796234131
1607583397.625597,26,0.6453821659088135
1607583398.217668,27,0.6177008748054504
1607583398.851977,28,0.5936294794082642
1607583399.487795,29,0.6024560332298279
1607583400.112166,30,0.608181357383728
1607583400.76363,31,0.5897059440612793
1607583401.410457,32,0.6022117137908936
1607583402.079759,33,0.5907664895057678
1607583402.829034,34,0.5922891497612
1607583403.445254,35,0.6062188744544983
1607583404.06948,36,0.6039780974388123
1607583404.702851,37,0.5937923192977905
1607583405.31851,38,0.6065201163291931
1607583405.930149,39,0.5959000587463379
1607583406.536047,40,0.5991448163986206
1607583407.153319,41,0.6098828315734863
1607583407.776436,42,0.599903404712677
1607583408.3839,43,0.5998076796531677
1607583408.987784,44,0.6290545463562012
1607583409.594666,45,0.6046873331069946
1607583410.205053,46,0.6070960760116577
1607583410.835943,47,0.6178187727928162
1607583411.452831,48,0.6443727016448975
1607583412.146481,49,0.6216862201690674
1607583412.785436,50,0.6088817119598389
1607583413.38929,51,0.6497503519058228
1607583413.988339,52,0.6384852528572083
1607583414.599885,53,0.6206775307655334
1607583415.228644,54,0.6185355186462402
1607583415.8561,55,0.6169562339782715
1607583416.478209,56,0.6200321316719055
1607583417.073852,57,0.6160939335823059
1607583417.666625,58,0.6422820687294006
1607583418.24905,59,0.6774791479110718
1607583418.833285,60,0.6185221076011658
1607583419.413742,61,0.6286307573318481
1607583419.995914,62,0.6497315168380737
1607583420.569857,63,0.6347630023956299
1607583421.151806,64,0.630304217338562
1607583421.731485,65,0.6458709239959717
1607583422.320828,66,0.6277257800102234
1607583422.939277,67,0.6757193803787231
1607583423.607346,68,0.634321391582489
1607583424.320739,69,0.6254743337631226
1607583424.964442,70,0.6411949992179871
1607583425.593456,71,0.64451664686203
1607583426.214146,72,0.7152515053749084
1607583426.839551,73,0.6552871465682983
1607583427.466126,74,0.705094039440155
1607583428.08835,75,0.6376020312309265
1607583428.699791,76,0.638353705406189
1607583429.314548,77,0.648136556148529
1607583429.933553,78,0.6367915868759155
1607583430.551839,79,0.6395807266235352
1607583431.159086,80,0.6435846090316772
1607583431.830722,81,0.700514554977417
